,assignee,date filed,patent number,patent title
274,"Coherent, Inc.","March 21, 2001",6594301," Tunable modelocked ultrafast laser
"
275,"Coherent, Inc.","June 2, 2000",6590911," Passively modelocked harmonic-generating laser
"
276,"Coherent, Inc.","March 5, 1999",6574255," High-power external-cavity optically-pumped semiconductor lasers
"
277,"Coherent, Inc.","August 9, 2002",6567434," CW far-UV laser system with two active resonators
"
278,"Coherent, Inc.","December 30, 1999",6526073," CW far-UV laser system with two active resonators
"
279,"Coherent, Inc.","September 24, 2001",6507593," Step-tunable external-cavity surface-emitting semiconductor laser
"
280,"Coherent, Inc.","March 9, 2000",6494371," Diode-laser light projector for illuminating a linear array of light
     modulators
"
281,"Coherent, Inc.","January 19, 2000",6478452," Diode-laser line-illuminating system
"
282,"Coherent, Inc.","August 23, 2001",6438153," High-power external-cavity optically-pumped semiconductor lasers
"
283,"Coherent, Inc.","June 7, 1999",6418154," Pulsed diode-pumped solid-state laser
"
284,"Coherent, Inc.","October 12, 1999",6414980," Laser rod thermalization
"
285,"Coherent, Inc.","October 20, 1999",6370168," Intracavity frequency-converted optically-pumped semiconductor laser
"
286,"Coherent, Inc.","August 12, 1998",6327293," Optically-pumped external-mirror vertical-cavity semiconductor-laser
"
287,"Coherent, Inc.","March 5, 1999",6298076," High-power external-cavity optically-pumped semiconductor lasers
"
288,"Coherent, Inc.","September 8, 1999",6292501," Apparatus for reducing amplitude modulation of laser diode output
"
289,"Coherent, Inc.","May 21, 1999",6292498," Method of controlling diode-laser wavelength in a diode-laser pumped
     solid-state laser
"
290,"Coherent, Inc.","May 21, 1999",6287299," Fluence monitoring apparatus for pulsed-laser corneal reshaping system
"
291,"Coherent, Inc.","March 5, 1999",6285702," High-power external-cavity optically-pumped semiconductor laser
"
292,"Coherent, Inc.","January 12, 1999",6272156," Apparatus for ultrashort pulse transportation and delivery
"
293,"Coherent, Inc.","June 11, 1999",6229831," Bright diode-laser light-source
"
294,"Coherent, Inc.","August 18, 1998",6222673," Group-delay-dispersive multilayer-mirror structures and method for
     designing same
"
295,"Coherent, Inc.","April 15, 1999",6198756," CW far-UV laser system with two active resonators
"
296,"Coherent, Inc.","December 12, 1997",6193711," Rapid pulsed Er:YAG laser
"
297,"Coherent, Inc.","January 20, 1999",6168832," Three-dimensional masking method for control of coating thickness
"
298,"Coherent, Inc.","August 20, 1999",6167068," Intracavity frequency-converted optically-pumped semiconductor laser
"
299,Coherent Inc.,"February 10, 1999",6156049," Method and apparatus for transurethral resection of the prostate
"
300,"Coherent, Inc.","November 16, 1999",6154318," Group-delay-dispersive multilayer-mirror structures and method for
     designing same
"
301,"Coherent, Inc.","December 8, 1997",6151342," Bright diode-laser light-source
"
302,"Coherent, Inc.","May 4, 1998",6144787," Aiming and focussing device for fiber-transported laser radiation
"
303,"Coherent, Inc.","September 2, 1998",6141369," Low-noise frequency-multiplied laser
"
304,"Coherent, Inc.","September 19, 1996",6135995," Electronically pulsed laser system
"
305,"Coherent, Inc.","March 5, 1999",6130900," Pulsed intracavity frequency-converted solid-state laser with long-pulse
     simulation
"
306,"Coherent, Inc.","March 18, 1998",6115402," Solid-state laser having resonator configured for compensating for
     thermal lensing
"
307,"Coherent, Inc.","August 24, 1999",6115396," Control system for a laser with multiple solid state rods
"
308,"Coherent, Inc.","March 5, 1999",6097742," High-power external-cavity optically-pumped semiconductor lasers
"
309,"Coherent, Inc.","April 10, 1997",6096031," High repetition rate erbium:YAG laser for tissue ablation
"
310,"Coherent, Inc.","October 9, 1997",6081637," Arrangement for monitoring power of diode-laser-radiation laterally
     coupled into an optical-fiber
"
311,"Coherent, Inc.","October 28, 1998",6081379," Multiple coupled Gires-Tournois interferometers for
     group-delay-dispersion control
"
312,"Coherent, Inc.","July 15, 1998",6072573," Portable laser power measuring apparatus
"
313,"Coherent, Inc.","June 17, 1997",6061374," Laser diode integrating enclosure and detector
"
314,"Coherent, Inc.","February 8, 1999",6055261," Ultrafast laser with multiply-folded resonant cavity
"
315,"Coherent, Inc.","September 15, 1998",6053981," Effusion cell and method of use in molecular beam epitaxy
"
316,"Coherent, Inc.","September 2, 1998",6038241," Pulsed-laser with first-pulse control
"
317,"Coherent, Inc.","May 4, 1998",6031953," Diode-laser to optical fiber coupling system with biaxial optical power
"
318,"Coherent, Inc.","January 14, 1998",6027256," Composite laser diode enclosure and method for making the same
"
319,Coherent Inc.,"October 28, 1997",6026112," Delivery system for high power multi-wavelength laser systems
"
320,Coherent Inc.,"April 11, 1997",6024751," Method and apparatus for transurethral resection of the prostate
"
321,"Coherent, Inc.","June 26, 1998",5999555," Apparatus for combining laser beams
"
322,"Coherent, Inc.","July 14, 1997",5993904," Three-dimensional masking method for control of coating thickness
"
323,"Coherent, Inc.","October 26, 1998",5991318," Intracavity frequency-converted optically-pumped semiconductor laser
"
324,"Coherent, Inc.","November 21, 1997",5966240," Laser blocking filter with neutral transmission color
"
325,"Coherent, Inc.","July 22, 1997",5957915," Hand-held laser scanner
"
326,"Coherent, Inc.","December 1, 1997",5949932," Assembly for focusing and coupling the radiation produced by a
     semiconductor laser into optical fibers
"
327,"Coherent, Inc.","March 26, 1997",5930600," Diode-laser module with a bonded component and method for bonding same
"
328,"Coherent, Inc.","November 17, 1997",5928221," Fluence monitoring method for laser treatment of biological tissue
"
329,"Coherent, Inc.","May 19, 1997",5912915," Ultrafast laser with multiply-folded resonant cavity
"
330,"Coherent, Inc.","September 5, 1997",5912912," Repetitively-pulsed solid-state laser having resonator including
     multiple different gain-media
"
331,"Coherent, Inc.","May 8, 1998",5911718," Method and apparatus for treating vascular lesions
"
332,"Coherent, Inc.","November 1, 1996",5889805," Low-threshold high-efficiency laser diodes with aluminum-free active
     region
"
333,"Coherent, Inc.","March 30, 1998",D407031," Laser power meter
"
334,"Coherent, Inc.","May 16, 1997",5852692," Tapered optical fiber delivery system for laser diode
"
335,"Coherent, Inc.","July 31, 1997",5852626," Geometry for cylindrical shaped laser system gain medium
"
336,"Coherent, Inc.","July 31, 1997",5848081," Insulated water cooled gain medium assembly for a laser system
"
337,"Coherent, Inc.","November 5, 1996",5812580," Laser diode facet coating
"
338,"Coherent, Inc.","August 6, 1997",5805277," Portable laser power measuring apparatus
"
339,"Coherent, Inc.","December 18, 1996",5798877," Optical system for improving the symmetry of the beam emitted from a
     broad area laser diode
"
340,"Coherent, Inc.","June 3, 1996",5786929," Optical parametric oscillator with delayed repumping
"
341,"Coherent, Inc.","June 12, 1997",5781574," Liquid circulation system for cooling a laser head
"
342,"Coherent, Inc.","October 6, 1997",5781571," Optical parametric oscillator with porro prism cavity
"
343,"Coherent, Inc.","January 8, 1997",5772657," Side firing fiber optic laser probe
"
344,"Coherent, Inc.","March 13, 1997",5754574," Temperature correction circuit for wavelength stabilization in a laser
     diode
"
345,"Coherent, Inc.","July 9, 1996",5754573," Method and apparatus for treating vascular lesions
"
346,"Coherent, Inc.","January 23, 1995",5743902," Hand-held laser scanner
"
347,"Coherent, Inc.","May 12, 1997",5729643," Tapered composite optical fiber and method of making the same
"
348,Coherent Inc.,"September 25, 1995",5678924," Power meter head for laser power measurement apparatus
"
349,"Coherent, Inc.","February 9, 1996",5661737," Multi-wavelength laser beam detector with refractive element
"
350,"Coherent, Inc.","October 27, 1994",5659563," Solid state laser with relay optics
"
351,"Coherent, Inc.","July 22, 1996",5644585," High repetition rate Eribum-YAG laser for tissue ablation
"
352,"Coherent, Inc.","August 12, 1996",5642370," High repetition rate erbium; YAG laser for tissue ablation
"
353,"Coherent, Inc.","July 9, 1996",5640412," Prism folded laser cavity with controlled intractivity beam polarization
"
354,"Coherent, Inc.","May 25, 1995",5636069," Optical system for improving the symmetry of the beam emitted from a
     broad area laser diode
"
355,"Coherent, Inc.","April 3, 1995",5634737," Coupler for attaching an articulated arm to a laser
"
356,"Coherent, Inc.","June 1, 1995",5627853," Optimized laser energy conversion through automatic mode matched pumping
"
357,"Coherent, Inc.","October 24, 1994",5625638," Sealed crystalline windows for hollow laser fibers
"
358,"Coherent, Inc.","February 8, 1996",5578029," Method of treating veins
"
359,"Coherent, Inc.","January 6, 1995",5558667," Method and apparatus for treating vascular lesions
"
360,"Coherent, Inc.","January 14, 1994",5558666," Handpiece for producing highly collimated laser beam for dermatological
     procedures
"
361,"Coherent, Inc.","July 12, 1994",5557475," Optical system for improving the symmetry of the beam emitted from a
     broad area laser diode
"
362,"Coherent, Inc.","January 19, 1994",5548352," Anti-astigmatic ophthalmic contact lens for use in performing laser
     surgery
"
363,"COHERENT, INC.","September 23, 1994",5531739," Method of treating veins
"
364,"Coherent, Inc.","September 23, 1994",5522813," Method of treating veins
"
365,"Coherent, Inc.","July 19, 1995",5504763," System for minimizing the depolarization of a laser beam due to
     thermally induced birefringence
"
366,"Coherent, Inc.","March 16, 1994",5493579," Laser system with collinear process and alignment beams
"
367,"Coherent, Inc.","September 22, 1994",5455837," Flashlamp energy control circuit
"
368,"Coherent, Inc.","November 14, 1994",5454808," Surgical laser handpiece for slit incisions
"
369,"Coherent, Inc.","April 28, 1994",5426662," Laser system selectively operable at two competing wavelengths
"
370,"Coherent, Inc.","July 27, 1993",5397327," Surgical laser handpiece for slit incisions
"
371,"Coherent, Inc.","February 23, 1994",5395360," Damage resistant sterilizable fiber optic probe assembly
"
372,"Coherent, Inc.","October 13, 1993",5394501," Optical coating for reflecting visible and longer wavelength radiation
     having grazing incidence angle
"
373,Coherent Inc.,"March 3, 1994",5381686," Dual-action pneumo-hydraulic crimping apparatus
"
374,"Coherent, Inc.","May 5, 1993",5375132," Solid state laser with interleaved output
"
375,"Coherent, Inc.","February 3, 1993",5360447," Laser assisted hair transplant method
"
376,"Coherent, Inc.","July 12, 1993",5353297," Gas slab laser with folded resonator structure
"
377,"Coherent, Inc.","July 12, 1993",5353296," Materials processing with a high repetition rate isotopic carbon dioxide
     laser
"
378,"Coherent, Inc.","September 9, 1993",5341238," Dichroic optical filter
"
379,"Coherent, Inc.","July 27, 1993",5336216," Apparatus for delivering a defocused laser beam having a sharp-edged
     cross-section
"
380,"Coherent, Inc.","May 4, 1993",5335242," Resonator for CO.sub.2 slab waveguide laser
"
381,"Coherent, Inc.","November 14, 1991",5335003," Optical stencil
"
382,"Coherent, Inc.","October 13, 1992",5333090," Optical coating for reflecting visible and longer wavelength radiation
     having grazing incidence angle
"
383,"Coherent, Inc.","September 14, 1992",5327442," Solid state laser with dual cooling loops
"
384,"Coherent, Inc.","May 4, 1993",5321715," Laser pulse format for penetrating an absorbing fluid
"
385,"Coherent, Inc.","April 13, 1992",5312398," Apparatus for delivering a laser beam
"
386,"Coherent, Inc.","August 2, 1993",5304174," Micromanipulator apparatus for surgical laser
"
387,"Coherent, Inc.","February 11, 1993",5304172," Fiber optic probe
"
388,"Coherent, Inc.","June 23, 1992",5300066," Contact laser delivery system
"
389,"Coherent, Inc.","April 23, 1991",5296961," Dichroic optical filter
"
390,"Coherent, Inc.","April 6, 1993",5283797," RF excited CO.sub.2 slab waveguide laser
"
391,"Coherent, Inc.","October 11, 1991",5280536," Method and apparatus for supplying pulsed power to an ophthalmic laser
     system
"
392,"Coherent, Inc.","February 5, 1993",5267012," Apparatus for measuring the mode quality of a laser beam
"
393,"Coherent, Inc.","December 28, 1992",D341200," Fiber optic handpiece
"
394,"Coherent, Inc.","February 26, 1992",5257992," Micromanipulator apparatus for surgical laser
"
395,"Coherent, Inc.","January 13, 1992",5257989," Contact laser delivery probe
"
396,"Coherent, Inc.","August 14, 1991",5254114," Medical laser delivery system with internally reflecting probe and method
"
397,"Coherent, Inc.","January 15, 1992",5243399," Alignment tool for endoscopes
"
398,"Coherent, Inc.","October 8, 1992",5237580," RF excited CO.sub.2 slab waveguide laser
"
399,"Coherent, Inc.","September 18, 1991",5226054," Cavity mirror for suppressing high gain laser wavelengths
"
400,"Coherent, Inc.","February 19, 1992",5216689," Slab laser with enhanced lifetime
"
401,"Coherent, Inc.","November 13, 1991",5216683," DC-to-DC converter using SCRS with natural commutation
"
402,"Coherent, Inc.","January 24, 1992",5214485," Apparatus for measuring the mode quality of a laser beam
"
403,"Coherent, Inc.","October 11, 1991",5206870," Laser cathode voltage controller
"
404,"Coherent, Inc.","October 7, 1991",5173908," System for automatically adjusting the GVD of a Gires-Tournois
     interferometer
"
405,"Coherent, Inc.","October 26, 1990",5171242," Combination lens system for retinal photocoagulator laser system
"
406,"Coherent, Inc.","May 9, 1991",5170409," Laser resonator assembly
"
407,"Coherent, Inc.","May 6, 1991",5166513," Dual actuation photoelectric foot switch
"
408,"Coherent, Inc.","March 6, 1991",5164946," Birefringent filter for use in a tunable pulsed laser cavity
"
409,"Coherent, Inc.","May 9, 1991",5163059," Mode-locked laser using non-linear self-focusing element
"
410,"Coherent, Inc.","January 13, 1992",5155739," RF excited CO.sub.2 slab waveguide laser
"
411,"Coherent, Inc.","April 18, 1991",5151917," Laser resonators employing diffractive optical elements
"
412,"Coherent, Inc.","July 25, 1991",5147354," Mid-infrared laser endoscope
"
413,"Coherent, Inc.","March 15, 1991",5144632," Laser with actively stabilized etalon for single frequency operation
"
414,"Coherent, Inc","September 9, 1991",5142544," Method and apparatus for controlling the power supply of a laser
     operating in a pulse mode
"
415,"Coherent, Inc.","October 12, 1990",5140606," RF excited CO.sub.2 slab waveguide laser
"
416,"Coherent, Inc.","July 29, 1991",5136676," Coupler for a laser delivery system
"
417,"Coherent, Inc.","March 15, 1991",5136597," Poynting vector walk-off compensation in type II phasematching
"
418,"Coherent, Inc.","May 24, 1991",5132980," Method and device for preconditioning a laser having a solid state gain
     medium
"
419,"Coherent, Inc.","October 12, 1990",5131004," RF excited CO.sub.2 slab waveguide laser
"
420,"Coherent, Inc.","October 12, 1990",5131003," RF excited CO.sub.2 slab waveguide laser
"
421,"Coherent, Inc.","May 21, 1990",5124998," Laser plasma tube having a window sealed end and a mirror sealed end
"
422,"Coherent, Inc.","October 12, 1990",5123028," RF Excited CO.sub.2 slab waveguide laser
"
423,"Coherent, Inc.","December 20, 1990",5121405," Alignment control system for lasers
"
424,"Coherent, Inc.","October 25, 1990",5117435," Pressure regulation system for gas laser based on temperature of anode
     stem
"
425,"Coherent, Inc.","September 14, 1990",5101415," Laser resonator mirror with wavelength selective coatings on two surfaces
"
426,"Coherent, Inc.","April 27, 1989",5100231," Apparatus for measuring the mode quality of a laser beam
"
427,"Coherent, Inc.","August 6, 1991",5097471," Mode-locked laser using non-linear self-focusing element
"
428,"Coherent, Inc.","December 21, 1990",5079772," Mode-locked laser using non-linear self-focusing element
"
429,"Coherent, Inc.","April 26, 1990",5078491," Apparatus for measuring the mode quality of a laser beam
"
430,"Coherent, Inc.","April 26, 1990",5069527," Apparatus for measuring the mode quality of a laser beam
"
431,"Coherent, Inc.","April 26, 1990",5064284," Apparatus for measuring the mode quality of a laser beam
"
432,"Coherent, Inc.","December 21, 1989",5062842," Isotopic CO.sub.2 laser and method of use for medical treatment
"
433,"Coherent, Inc.","July 27, 1990",RE33729," Multilayer optical filter for producing colored reflected light and
     neutral transmission
"
434,"Coherent, Inc.","April 13, 1990",5052815," Single frequency ring laser with two reflecting surfaces
"
435,"Coherent, Inc.","June 8, 1990",5052017," High power laser with focusing mirror sets
"
436,"Coherent, Inc.","September 4, 1990",5048033," Method and apparatus for controlling the power supply of a laser
     operating in a pulse mode
"
437,"Coherent, Inc.","April 23, 1990",5048031," Laser with actively stabilized etalon for single frequency operation
"
438,"Coherent, Inc.","May 22, 1990",5046070," Longitudinally laser pumped laser with compensation for thermal lens
     effects
"
439,"Coherent, Inc.","April 24, 1990",5040182," Mode-locked laser
"
440,"Coherent, Inc., Medical Group","December 12, 1990",5037421," Mid-infrared laser arthroscopic procedure
"
441,"Coherent, Inc.","April 10, 1989",5033853," Apparatus for autocorrelating optical radiation signals
"
442,"Coherent, Inc.","June 11, 1990",5033061," Laser alignment servo method and apparatus
"
443,"Coherent, Inc.","December 1, 1988",5023886," High power laser with focusing mirror sets
"
444,"Coherent, Inc.","December 19, 1989",5014281," Gas laser
"
445,"Coherent, Inc.","October 16, 1989",5000557," Kinematic resonator support
"
446,"Coherent, Inc.","March 14, 1990",4999840," Stabilized synchronously pumped dye laser
"
447,"Coherent, Inc.","July 18, 1989",4998254," Stabilized synchronously pumped dye laser
"
448,"Coherent, Inc.","April 7, 1989",4964735," Apparatus for indicating the power and position of a laser beam
"
449,"Coherent, Inc.","April 25, 1988",4949358," Ring laser with improved beam quality
"
450,"Coherent, Inc.","April 24, 1989",4939739," Laser alignment servo method and apparatus
"
451,"Coherent, Inc.","May 23, 1989",4925288," Adjustable mirror mount
"
452,"Coherent, Inc.","November 21, 1988",4901966," Kinematic resonator support
"
453,"Coherent, Inc.","August 29, 1988",4896928," Chromatically invariant multilayer dielectric thin film coating
"
454,"Coherent, Inc.","March 16, 1987",4864578," Scannable laser with integral wavemeter
"
455,"Coherent, Inc.","October 10, 1986",4862469," Suppression of the second intracavity pulse in a synchronously pumped
     dye laser
"
456,"Coherent, Inc.","April 24, 1987",4818089," Kinematic resonator support
"
457,"Coherent, Inc.","March 17, 1988",4817108," Gas discharge structure for an R.F. excited gas laser
"
458,"Coherent, Inc.","December 4, 1987",4815806," Stabilized laser fiber launcher
"
459,"Coherent, Inc.","September 11, 1987",4793669," Multilayer optical filter for producing colored reflected light and
     neutral transmission
"
460,"Coherent, Inc.","April 24, 1987",4760583," Laser delivery system
"
461,"Coherent, Inc.","October 15, 1987",4746202," Polarization preserving reflector and method
"
462,"Coherent, Inc.","December 6, 1985",4736379," Conduction cooled ion laser
"
463,"Coherent, Inc.","March 26, 1985",4734915," Conduction cooled laser bore structures formed from graphite and other
     materials
"
464,"Coherent, Inc.","July 1, 1986",4732460," Beam selector for a photocoagulator
"
465,"Coherent, Inc.","July 7, 1986",4711526," Attenuating beam splitter
"
466,"Coherent, Inc.","November 4, 1985",4707837," Distributive lasing system
"
467,"Coherent, Inc.","March 25, 1985",4674092," Miniature cryogenic pump method and apparatus for ion lasers
"
468,"Coherent, Inc.","October 25, 1978",4672168," Apparatus for perforating sheet material
"
469,"Coherent, Inc.","February 6, 1986",4661958," Laser
"
470,"Coherent, Inc.","September 6, 1984",4648093," Power supply for gas discharge lasers
"
471,"Coherent, Inc.","May 6, 1983",4547885," Active pressure regulator for a gas laser
"
472,"Coherent, Inc.","September 7, 1983",4514849," Dye laser with rotating wedge alignment servo
"
473,"Coherent, Inc.","May 6, 1983",4502145," Power supply for a laser
"
474,"Coherent, Inc.","March 31, 1982",4500996," High power fundamental mode laser
"
475,"Coherent, Inc.","September 22, 1978",4427872," Precision machining apparatus and method utilizing a laser
"
476,"Coherent, Inc.","August 25, 1980",4396285," Laser system and its method of use
"
477,"Coherent, Inc.","October 2, 1980",4379622," Broad band phase shift system
"
478,"Coherent, Inc.","May 4, 1981",4378600," Gas laser
"
479,"Coherent, Inc.","May 4, 1981",4376328," Method of constructing a gaseous laser
"
480,"Coherent, Inc.","October 2, 1980",4336439," Method and apparatus for laser scribing and cutting
"
481,"Coherent, Inc.","October 5, 1978",4304978," Heat treating using a laser
"
482,"Coherent, Inc.","March 2, 1979",4272158," Broadband optical diode for a ring laser
"
483,"Coherent, Inc.","April 30, 1979",4268800," Vertex-mounted tipping Brewster plate for a ring laser
"
484,"Coherent, Inc.","October 4, 1977",4260227," Automated kinetic perimetry apparatus and method
"
485,"Coherent, Inc.","January 4, 1978",4158762," Apparatus and method for cutting and heat sealing woven thermoplastic
     material
"
486,"Coherent, Inc.","July 5, 1977",4150342," Method and apparatus for automatically reacquiring a predetermined
     output radiation frequency in a tunable laser system despite momentary
     perturbations of laser oscillation
"
487,"Coherent, Inc.","September 3, 1976",4097818," Adjustable etalon laser mode selector and method of adjustment
"
488,"Coherent, Inc.","July 1, 1976",4092530," Feedback loop control system employing method and apparatus for
     stabilizing total loop gain and bandwidth
"
489,"Coherent, Inc.","June 3, 1976",4081765," Method and apparatus for providing a calibrated scan for a scanning laser
"
